№ реєстр.картки,Ідент. номер /кліпса,Дата реєстрації,Кличка,стать ,,"вага, кг",Вакцинація проти сказу (дата),Стерилізація/ кастрація (дата),Місце відлову,Перебування/
,,,,,вік,,,,,дата вибуття
75,827,25.03.2019,Гарик,к,4 роки,34,5/24/2024,не підлягає,поворот на Замостя,
277,863,12/23/2020,Пірат,к,2 роки,10,5/24/2024,8/4/2022,вул.Войкова,
306,896,4/28/2021,Дана,с,8 міс,24,5/24/2024,11/17/2021,ситочна,
368,кр16521,10/15/2021,Люся,с,8 міс,15,5/24/2024,11/9/2021,Дослідна,
386,кр18143,11/18/2021,Шарік,к,4 роки,20,5/24/2024,9/23/2022,вул .Богунська 1а,
388,кр18144,11/19/2021,Одна (Діна),с,7 міс,15,5/24/2024,6/10/2022,м.Прилуки,
510,21039,9/27/2022,Дружок,к,5 років,30 кг,5/24/2024,,волонтери,
552,,3/3/2024,Адель,с,1 рік,25,,3/3/2024,р-н Рокітне,3/6/2024
553,,3/7/2024,Дуся,с,6 міс,7,,3/7/2024,волонтери,3/8/2024
554,,3/13/2024,Лабрадор,с,2 роки,24,,3/22/2024,волонтери,4/8/2024
555,,3/13/2024,Лиска,с,3 роки,21,,3/13/2024,блокпост Київ-Суми,3/19/2024
556,,3/13/2024,Плюшка,с,2 роки,7,,3/13/2024,Промзона,3/17/2024
557,,3/15/2024,Міла,с,1 рік,7,,3/15/2024,Промзона,3/18/2024
558,,3/19/2024,Сіма,с,1 рік,8.5,,3/19/2024,Промзона,3/20/2024
559,,3/20/2024,Пума,с,5 років,8,,3/20/2024,волонтери,3/20/2024
560,,3/21/2024,Норка,с,2 роки,7,4/3/2024,,вул. Берегова,5/13/2024
561,,3/21/2024,Рижуля,с,1 рік,9,,3/21/2024,Промзона,3/21/2024
562,,3/22/2024,Чапа,с,8 міс,13.7,,3/22/2024,р-н міської лікарні,3/22/2024
563,,3/22/2024,Санта,с,9 років,7.5,,3/22/2024,вул. Іванівська,3/22/2024
564,,3/23/2024,Магура,с,2 роки,13,,3/23/2024,р-н 6 школи,3/23/2024
565,,3/23/2024,Пальма ,с,7 років,19.5,,3/23/2024,вул. Андріївська,3/23/2024
566,,3/24/2024,Багіра,с,5 міс,14,,3/23/2024,р-н очисних споруд,3/24/2024
567,,3/26/2024,Боня ,к,9 міс,18,,3/26/2024,р-н Рокітне,3/26/2024
568,,3/26/2024,Б'янка,с,9 міс,12,,3/27/2024,територія заводу,3/26/2024
569,,3/27/2024,Дора,с,6 міс,18,3/27/2024,3/27/2024,БАМ,3/27/2024
570,,3/28/2024,Кнопа,с,9 міс,12,,3/28/2024,р-н Рокітне,3/28/2024
571,,3/28/2024,Лапа,с,1 рік,13,3/28/2024,3/28/2024,р-н Рокітне,3/28/2024
572,,3/28/2024,Діна,с,6 міс,6,,3/28/2024,вул. Алгазіна,3/28/2024
573,,3/28/2024,Жужа,с,1 рік,5,,3/28/2024,Пирогівці,3/28/2024
574,,3/28/2024,Річі,к,1 рік,7.6,,3/28/2024,Пирогівці,3/28/2024
575,,3/28/2024,Дуся,с,7 років,14,,3/28/2024,вул. Європейська,4/5/2024
576,,3/28/2024,Лиса,с,3 роки,20,,3/28/2024,волонтери,3/29/2024
577,,3/30/2024,Гіта,с,6 міс,7,4/3/2024,,р-н санстанції,5/25/2024
578,,3/30/2024,Зіта,с,6 міс,7,,7/26/2024,р-н санстанції,8/10/2024
579,,3/30/2024,Рудий,к,3 роки,21,,,ж/д вокзал,
580,,3/30/2024,Беляш,к,8 міс,12,3/30/2024,3/30/2024,БАМ,3/30/2024
581,,3/30/2024,Мишка,с,7 міс,14,3/31/2024,3/31/2024,ж/д вокзал,3/31/2024
