"Показник","Період часу","Стать","Територіальний розріз","Категорія розрізу","Розріз","Періодичність","2020"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Україна","Вікова група","25-34 років","Річна","10272"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Україна","Вікова група","35-44 років","Річна","11267"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Україна","Вікова група","45-54 років","Річна","10121"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Україна","Вікова група","55-59 років","Річна","9459"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Україна","Вікова група","60-64 роки","Річна","9216"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Україна","Вікова група","65 років і старші","Річна","8177"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Україна","Вікова група","До 25 років","Річна","6958"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Жінки","Україна","Вікова група","Загалом","Річна","10049"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вікова група","25-34 років","Річна","12770"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вікова група","35-44 років","Річна","13606"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вікова група","45-54 років","Річна","12055"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вікова група","55-59 років","Річна","10522"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вікова група","60-64 роки","Річна","10301"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вікова група","65 років і старші","Річна","9946"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вікова група","До 25 років","Річна","8817"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Чоловіки","Україна","Вікова група","Загалом","Річна","12035"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Усього","Україна","Вікова група","25-34 років","Річна","11665"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Усього","Україна","Вікова група","35-44 років","Річна","12422"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Усього","Україна","Вікова група","45-54 років","Річна","11042"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Усього","Україна","Вікова група","55-59 років","Річна","9968"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Усього","Україна","Вікова група","60-64 роки","Річна","9791"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Усього","Україна","Вікова група","65 років і старші","Річна","9080"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Усього","Україна","Вікова група","До 25 років","Річна","7849"
"Нараховано в середньому штатному працівнику, за період часу","Місяць","Усього","Україна","Вікова група","Загалом","Річна","11048"
