year,1,2,3,4,5,6,7,8,9,10,11,12,full year
2025,"2,1","-3,7 "," 7,4",,,,,,,,,,
2015,"-0,8","-0,7","5,1","9,7","16,0","20,4","21,9","22,6","17,8","7,3","4,7","1,9","10,5"
2016,"-5,7","2,0","3,9","12,4","15,5","20,6","22,4","21,1","16,1","6,5","1,2","-1,5","9,5"
2017,"-4,9","-2,8","6,2","10,4","15,2","20,0","20,9","22,4","16,4","8,4","3,3","1,6","9,8"
2018,"-2,4","-3,8","-1,9","13,1","18,8","20,6","21,4","22,5","17,3","10,7","0,3","-2,2","9,5"
2019,"-4,5","0,6","5,1","10,6","17,0","23,6","19,8","20,7","15,9","11,1","4,6","2,7","10,6"
2020,"0,8","2,5","6,5","9,9","12,4","21,7","21,9","21,4","18,4","12,5","3,8","-0,5","10,9"
2021,"-2,5 ","-4,5 ","2,7 ","8,0 ","14,3 ","21,3 ","24,6 ","21,1 ","13,5 ","8,4 "," 4,8","-1,5 ","9,2 "
2022,"-1,3","1,8","2,6","8,1","14,6","21,7","20,8","22,3","12,7","10,6","3,1","-0,7","9,7"
2023," -0,3"," -0,2","4,8 ","9,6 ","16,0 ","19,6 ","21,5 ","23,8 ","18,8 "," 11,4"," 4,1","0,7 ","10,8 "
2024,"-2,6 ","2,9 "," 4,8","12,8 ","16,3 ","21,5 ","24,3 ","23,1 ","20,6 ","10,9 ","2,7 "," 0,0","11,4 "
