"DateTime","Positive reviews","Negative reviews"
"2023-06-02 00:00:00",835,-173
"2023-06-03 00:00:00",2001,-215
"2023-06-04 00:00:00",1538,-79
"2023-06-05 00:00:00",,
"2023-06-06 00:00:00",1162,-87
"2023-06-07 00:00:00",873,-84
"2023-06-08 00:00:00",700,-61
"2023-06-09 00:00:00",606,-66
"2023-06-10 00:00:00",579,-48
"2023-06-11 00:00:00",,
"2023-06-12 00:00:00",550,-83
"2023-06-13 00:00:00",470,-69
"2023-06-14 00:00:00",414,-53
"2023-06-15 00:00:00",425,-53
"2023-06-16 00:00:00",378,-41
"2023-06-17 00:00:00",,
"2023-06-18 00:00:00",350,-42
"2023-06-19 00:00:00",343,-30
"2023-06-20 00:00:00",283,-41
"2023-06-21 00:00:00",261,-37
"2023-06-22 00:00:00",,
"2023-06-23 00:00:00",286,-36
"2023-06-24 00:00:00",235,-59
"2023-06-25 00:00:00",251,-35
"2023-06-26 00:00:00",,
"2023-06-27 00:00:00",,
"2023-06-28 00:00:00",537,-64
"2023-06-29 00:00:00",196,-27
"2023-06-30 00:00:00",265,-31
"2023-07-01 00:00:00",,
"2023-07-02 00:00:00",299,-38
"2023-07-03 00:00:00",220,-21
"2023-07-04 00:00:00",248,-23
"2023-07-05 00:00:00",232,-41
"2023-07-06 00:00:00",,
"2023-07-07 00:00:00",201,-16
"2023-07-08 00:00:00",200,-8
"2023-07-09 00:00:00",235,-20
"2023-07-10 00:00:00",,
"2023-07-11 00:00:00",180,-19
"2023-07-12 00:00:00",160,-32
"2023-07-13 00:00:00",,
"2023-07-14 00:00:00",156,-31
"2023-07-15 00:00:00",162,-22
"2023-07-16 00:00:00",,
"2023-07-17 00:00:00",,
"2023-07-18 00:00:00",281,-71
"2023-07-19 00:00:00",144,-14
"2023-07-20 00:00:00",121,-16
"2023-07-21 00:00:00",,
"2023-07-22 00:00:00",130,-25
"2023-07-23 00:00:00",127,-20
"2023-07-24 00:00:00",208,-24
"2023-07-25 00:00:00",170,-31
"2023-07-26 00:00:00",,
"2023-07-27 00:00:00",129,-23
"2023-07-28 00:00:00",91,-15
"2023-07-29 00:00:00",101,-28
"2023-07-30 00:00:00",105,-23
"2023-07-31 00:00:00",,
"2023-08-01 00:00:00",94,-17
"2023-08-02 00:00:00",77,-19
"2023-08-03 00:00:00",67,-14
"2023-08-04 00:00:00",,
"2023-08-05 00:00:00",84,-13
"2023-08-06 00:00:00",99,-13
"2023-08-07 00:00:00",96,-24
"2023-08-08 00:00:00",,
"2023-08-09 00:00:00",118,-55
"2023-08-10 00:00:00",93,-31
"2023-08-11 00:00:00",96,-29
"2023-08-12 00:00:00",,
"2023-08-13 00:00:00",85,-27
"2023-08-14 00:00:00",99,-23
"2023-08-15 00:00:00",109,-27
"2023-08-16 00:00:00",,
"2023-08-17 00:00:00",109,-24
"2023-08-18 00:00:00",112,-11
"2023-08-19 00:00:00",108,-14
"2023-08-20 00:00:00",,
"2023-08-21 00:00:00",121,-15
"2023-08-22 00:00:00",77,-13
"2023-08-23 00:00:00",80,-16
"2023-08-24 00:00:00",68,-19
"2023-08-25 00:00:00",,
"2023-08-26 00:00:00",100,-28
"2023-08-27 00:00:00",104,-12
"2023-08-28 00:00:00",93,-14
"2023-08-29 00:00:00",,
"2023-08-30 00:00:00",90,
"2023-08-31 00:00:00",74,-1
"2023-09-01 00:00:00",86,-6
"2023-09-02 00:00:00",,
"2023-09-03 00:00:00",83,-17
"2023-09-04 00:00:00",72,-8
"2023-09-05 00:00:00",64,-14
"2023-09-06 00:00:00",,
"2023-09-07 00:00:00",94,-10
"2023-09-08 00:00:00",72,-8
"2023-09-09 00:00:00",67,-18
"2023-09-10 00:00:00",,
"2023-09-11 00:00:00",89,-13
"2023-09-12 00:00:00",65,-4
"2023-09-13 00:00:00",74,-19
"2023-09-14 00:00:00",,
"2023-09-15 00:00:00",50,-9
"2023-09-16 00:00:00",57,-14
"2023-09-17 00:00:00",81,-22
"2023-09-18 00:00:00",,
"2023-09-19 00:00:00",50,-18
"2023-09-20 00:00:00",73,-12
"2023-09-21 00:00:00",69,-13
"2023-09-22 00:00:00",54,-17
"2023-09-23 00:00:00",,
"2023-09-24 00:00:00",82,-10
"2023-09-25 00:00:00",83,-12
"2023-09-26 00:00:00",,
"2023-09-27 00:00:00",69,-3
"2023-09-28 00:00:00",134,-5
"2023-09-29 00:00:00",90,
"2023-09-30 00:00:00",,
"2023-10-01 00:00:00",,
"2023-10-02 00:00:00",155,-24
"2023-10-03 00:00:00",47,-9
"2023-10-04 00:00:00",,
"2023-10-05 00:00:00",68,-9
"2023-10-06 00:00:00",55,-12
"2023-10-07 00:00:00",58,-9
"2023-10-08 00:00:00",,
"2023-10-09 00:00:00",61,-11
"2023-10-10 00:00:00",51,-18
"2023-10-11 00:00:00",52,-4
"2023-10-12 00:00:00",,
"2023-10-13 00:00:00",62,-10
"2023-10-14 00:00:00",52,-11
"2023-10-15 00:00:00",60,-12
"2023-10-16 00:00:00",,
"2023-10-17 00:00:00",44,-14
"2023-10-18 00:00:00",46,-16
"2023-10-19 00:00:00",25,-10
"2023-10-20 00:00:00",,
"2023-10-21 00:00:00",52,-7
"2023-10-22 00:00:00",37,-10
"2023-10-23 00:00:00",,
"2023-10-24 00:00:00",42,-11
"2023-10-25 00:00:00",40,-7
"2023-10-26 00:00:00",29,-7
"2023-10-27 00:00:00",44,-7
"2023-10-28 00:00:00",,
"2023-10-29 00:00:00",39,-7
"2023-10-30 00:00:00",34,-10
"2023-10-31 00:00:00",40,
"2023-11-01 00:00:00",,
"2023-11-02 00:00:00",,
"2023-11-03 00:00:00",87,-21
"2023-11-04 00:00:00",36,-5
"2023-11-05 00:00:00",,
"2023-11-06 00:00:00",54,-7
"2023-11-07 00:00:00",42,-11
"2023-11-08 00:00:00",,
"2023-11-09 00:00:00",37,-6
"2023-11-10 00:00:00",48,-5
"2023-11-11 00:00:00",38,-7
"2023-11-12 00:00:00",,
"2023-11-13 00:00:00",42,-10
"2023-11-14 00:00:00",27,-9
"2023-11-15 00:00:00",,
"2023-11-16 00:00:00",54,-14
"2023-11-17 00:00:00",46,-6
"2023-11-18 00:00:00",,
"2023-11-19 00:00:00",54,-14
"2023-11-20 00:00:00",53,
"2023-11-21 00:00:00",,
"2023-11-22 00:00:00",1054,-15
"2023-11-23 00:00:00",1039,
"2023-11-24 00:00:00",,
"2023-11-25 00:00:00",583,-14
"2023-11-26 00:00:00",,
"2023-11-27 00:00:00",542,-30
"2023-11-28 00:00:00",416,-26
"2023-11-29 00:00:00",,
"2023-11-30 00:00:00",165,-20
"2023-12-01 00:00:00",102,-31
"2023-12-02 00:00:00",82,-233
"2023-12-03 00:00:00",,
"2023-12-04 00:00:00",68,-63
"2023-12-05 00:00:00",54,-59
"2023-12-06 00:00:00",,
"2023-12-07 00:00:00",56,-32
"2023-12-08 00:00:00",89,-19
"2023-12-09 00:00:00",,
"2023-12-10 00:00:00",78,-24
"2023-12-11 00:00:00",87,-19
"2023-12-12 00:00:00",,
"2023-12-13 00:00:00",95,-3
"2023-12-14 00:00:00",69,-18
"2023-12-15 00:00:00",,
"2023-12-16 00:00:00",79,-4
"2023-12-17 00:00:00",79,-15
"2023-12-18 00:00:00",,
"2023-12-19 00:00:00",68,-11
"2023-12-20 00:00:00",56,-14
"2023-12-21 00:00:00",,
"2023-12-22 00:00:00",87,-5
"2023-12-23 00:00:00",82,-15
"2023-12-24 00:00:00",,
"2023-12-25 00:00:00",76,-18
"2023-12-26 00:00:00",,
"2023-12-27 00:00:00",98,-14
"2023-12-28 00:00:00",116,-22
"2023-12-29 00:00:00",,
"2023-12-30 00:00:00",79,-21
"2023-12-31 00:00:00",81,-30
"2024-01-01 00:00:00",,
"2024-01-02 00:00:00",72,-18
"2024-01-03 00:00:00",,
"2024-01-04 00:00:00",90,-8
"2024-01-05 00:00:00",74,-36
"2024-01-06 00:00:00",88,-22
"2024-01-07 00:00:00",,
"2024-01-08 00:00:00",71,-17
"2024-01-09 00:00:00",87,-33
"2024-01-10 00:00:00",,
"2024-01-11 00:00:00",58,-35
"2024-01-12 00:00:00",29,-90
"2024-01-13 00:00:00",,
"2024-01-14 00:00:00",31,-101
"2024-01-15 00:00:00",62,-49
"2024-01-16 00:00:00",,
"2024-01-17 00:00:00",43,-22
"2024-01-18 00:00:00",,
"2024-01-19 00:00:00",39,-20
"2024-01-20 00:00:00",61,-8
"2024-01-21 00:00:00",,
"2024-01-22 00:00:00",64,-13
"2024-01-23 00:00:00",42,-27
"2024-01-24 00:00:00",,
"2024-01-25 00:00:00",34,-14
"2024-01-26 00:00:00",42,-22
"2024-01-27 00:00:00",,
"2024-01-28 00:00:00",113,-27
"2024-01-29 00:00:00",,
"2024-01-30 00:00:00",60,-7
"2024-01-31 00:00:00",55,-18
"2024-02-01 00:00:00",,
"2024-02-02 00:00:00",48,-6
"2024-02-03 00:00:00",66,-18
"2024-02-04 00:00:00",,
"2024-02-05 00:00:00",42,-12
"2024-02-06 00:00:00",45,-8
"2024-02-07 00:00:00",,
"2024-02-08 00:00:00",59,-13
"2024-02-09 00:00:00",52,-13
"2024-02-10 00:00:00",,
"2024-02-11 00:00:00",45,-15
"2024-02-12 00:00:00",,
"2024-02-13 00:00:00",60,-7
"2024-02-14 00:00:00",,
"2024-02-15 00:00:00",51,-10
"2024-02-16 00:00:00",,
"2024-02-17 00:00:00",49,-11
"2024-02-18 00:00:00",65,-7
"2024-02-19 00:00:00",,
"2024-02-20 00:00:00",48,-13
"2024-02-21 00:00:00",,
"2024-02-22 00:00:00",,
"2024-02-23 00:00:00",90,-20
"2024-02-24 00:00:00",54,-17
"2024-02-25 00:00:00",,
"2024-02-26 00:00:00",74,-3
"2024-02-27 00:00:00",,
"2024-02-28 00:00:00",115,-5
"2024-02-29 00:00:00",79,-8
"2024-03-01 00:00:00",,
"2024-03-02 00:00:00",90,-10
"2024-03-03 00:00:00",,
"2024-03-04 00:00:00",98,-25
"2024-03-05 00:00:00",,
"2024-03-06 00:00:00",99,-18
"2024-03-07 00:00:00",,
"2024-03-08 00:00:00",74,-10
"2024-03-09 00:00:00",,
"2024-03-10 00:00:00",136,-18
"2024-03-11 00:00:00",,
"2024-03-12 00:00:00",108,-14
"2024-03-13 00:00:00",80,-9
"2024-03-14 00:00:00",,
"2024-03-15 00:00:00",74,-8
"2024-03-16 00:00:00",,
"2024-03-17 00:00:00",86,-13
"2024-03-18 00:00:00",85,-10
"2024-03-19 00:00:00",,
"2024-03-20 00:00:00",79,-4
"2024-03-21 00:00:00",,
"2024-03-22 00:00:00",68,-12
"2024-03-23 00:00:00",76,-7
"2024-03-24 00:00:00",,
"2024-03-25 00:00:00",66,-15
"2024-03-26 00:00:00",43,-7
"2024-03-27 00:00:00",,
"2024-03-28 00:00:00",48,-3
"2024-03-29 00:00:00",66,-2
"2024-03-30 00:00:00",,
"2024-03-31 00:00:00",54,-12
"2024-04-01 00:00:00",44,-4
"2024-04-02 00:00:00",,
"2024-04-03 00:00:00",44,-8
"2024-04-04 00:00:00",,
"2024-04-05 00:00:00",63,-10
"2024-04-06 00:00:00",,
"2024-04-07 00:00:00",47,-24
"2024-04-08 00:00:00",30,-4
"2024-04-09 00:00:00",36,-3
"2024-04-10 00:00:00",21,-8
"2024-04-11 00:00:00",19,-8
"2024-04-12 00:00:00",24,-5
"2024-04-13 00:00:00",21,-6
"2024-04-14 00:00:00",36,-9
"2024-04-15 00:00:00",32,-7
"2024-04-16 00:00:00",14,-2
"2024-04-17 00:00:00",33,-14
"2024-04-18 00:00:00",28,-5
"2024-04-19 00:00:00",27,-9
"2024-04-20 00:00:00",42,-4
"2024-04-21 00:00:00",28,-12
"2024-04-22 00:00:00",44,-13
"2024-04-23 00:00:00",19,-4
"2024-04-24 00:00:00",21,-11
"2024-04-25 00:00:00",30,-3
"2024-04-26 00:00:00",26,-2
"2024-04-27 00:00:00",63,-13
"2024-04-28 00:00:00",19,-4
"2024-04-29 00:00:00",45,-6
"2024-04-30 00:00:00",24,-7
"2024-05-01 00:00:00",27,-14
"2024-05-02 00:00:00",38,-9
"2024-05-03 00:00:00",36,-5
"2024-05-04 00:00:00",39,-6
"2024-05-05 00:00:00",35,
"2024-05-06 00:00:00",31,-13
"2024-05-07 00:00:00",31,-7
"2024-05-08 00:00:00",39,-3
"2024-05-09 00:00:00",25,-4
"2024-05-10 00:00:00",23,-11
"2024-05-11 00:00:00",23,-9
"2024-05-12 00:00:00",36,-10
"2024-05-13 00:00:00",30,-12
"2024-05-14 00:00:00",31,
"2024-05-15 00:00:00",28,-5
"2024-05-16 00:00:00",18,-7
"2024-05-17 00:00:00",28,-6
"2024-05-18 00:00:00",49,-15
"2024-05-19 00:00:00",21,-12
"2024-05-20 00:00:00",28,-5
"2024-05-21 00:00:00",25,-3
"2024-05-22 00:00:00",85,-13
"2024-05-23 00:00:00",89,-28
"2024-05-24 00:00:00",59,-21
"2024-05-25 00:00:00",43,-15
"2024-05-26 00:00:00",44,-17
"2024-05-27 00:00:00",49,-11
"2024-05-28 00:00:00",59,-7
