"DateTime","Positive reviews","Negative reviews"
"2023-06-02 00:00:00",835,-173
"2023-06-03 00:00:00",2836,-388
"2023-06-04 00:00:00",4374,-467
"2023-06-05 00:00:00",4374,-467
"2023-06-06 00:00:00",5536,-554
"2023-06-07 00:00:00",6409,-638
"2023-06-08 00:00:00",7109,-699
"2023-06-09 00:00:00",7715,-765
"2023-06-10 00:00:00",8294,-813
"2023-06-11 00:00:00",8294,-813
"2023-06-12 00:00:00",8844,-896
"2023-06-13 00:00:00",9314,-965
"2023-06-14 00:00:00",9728,-1018
"2023-06-15 00:00:00",10153,-1071
"2023-06-16 00:00:00",10531,-1112
"2023-06-17 00:00:00",10531,-1112
"2023-06-18 00:00:00",10881,-1154
"2023-06-19 00:00:00",11224,-1184
"2023-06-20 00:00:00",11507,-1225
"2023-06-21 00:00:00",11768,-1262
"2023-06-22 00:00:00",11768,-1262
"2023-06-23 00:00:00",12054,-1298
"2023-06-24 00:00:00",12289,-1357
"2023-06-25 00:00:00",12540,-1392
"2023-06-26 00:00:00",12540,-1392
"2023-06-27 00:00:00",12540,-1392
"2023-06-28 00:00:00",13077,-1456
"2023-06-29 00:00:00",13273,-1483
"2023-06-30 00:00:00",13538,-1514
"2023-07-01 00:00:00",13538,-1514
"2023-07-02 00:00:00",13837,-1552
"2023-07-03 00:00:00",14057,-1573
"2023-07-04 00:00:00",14305,-1596
"2023-07-05 00:00:00",14537,-1637
"2023-07-06 00:00:00",14537,-1637
"2023-07-07 00:00:00",14738,-1653
"2023-07-08 00:00:00",14938,-1661
"2023-07-09 00:00:00",15173,-1681
"2023-07-10 00:00:00",15173,-1681
"2023-07-11 00:00:00",15353,-1700
"2023-07-12 00:00:00",15513,-1732
"2023-07-13 00:00:00",15513,-1732
"2023-07-14 00:00:00",15669,-1763
"2023-07-15 00:00:00",15831,-1785
"2023-07-16 00:00:00",15831,-1785
"2023-07-17 00:00:00",15831,-1785
"2023-07-18 00:00:00",16112,-1856
"2023-07-19 00:00:00",16256,-1870
"2023-07-20 00:00:00",16377,-1886
"2023-07-21 00:00:00",16377,-1886
"2023-07-22 00:00:00",16507,-1911
"2023-07-23 00:00:00",16634,-1931
"2023-07-24 00:00:00",16842,-1955
"2023-07-25 00:00:00",17012,-1986
"2023-07-26 00:00:00",17012,-1986
"2023-07-27 00:00:00",17141,-2009
"2023-07-28 00:00:00",17232,-2024
"2023-07-29 00:00:00",17333,-2052
"2023-07-30 00:00:00",17438,-2075
"2023-07-31 00:00:00",17438,-2075
"2023-08-01 00:00:00",17532,-2092
"2023-08-02 00:00:00",17609,-2111
"2023-08-03 00:00:00",17676,-2125
"2023-08-04 00:00:00",17676,-2125
"2023-08-05 00:00:00",17760,-2138
"2023-08-06 00:00:00",17859,-2151
"2023-08-07 00:00:00",17955,-2175
"2023-08-08 00:00:00",17955,-2175
"2023-08-09 00:00:00",18073,-2230
"2023-08-10 00:00:00",18166,-2261
"2023-08-11 00:00:00",18262,-2290
"2023-08-12 00:00:00",18262,-2290
"2023-08-13 00:00:00",18347,-2317
"2023-08-14 00:00:00",18446,-2340
"2023-08-15 00:00:00",18555,-2367
"2023-08-16 00:00:00",18555,-2367
"2023-08-17 00:00:00",18664,-2391
"2023-08-18 00:00:00",18776,-2402
"2023-08-19 00:00:00",18884,-2416
"2023-08-20 00:00:00",18884,-2416
"2023-08-21 00:00:00",19005,-2431
"2023-08-22 00:00:00",19082,-2444
"2023-08-23 00:00:00",19162,-2460
"2023-08-24 00:00:00",19230,-2479
"2023-08-25 00:00:00",19230,-2479
"2023-08-26 00:00:00",19330,-2507
"2023-08-27 00:00:00",19434,-2519
"2023-08-28 00:00:00",19527,-2533
"2023-08-29 00:00:00",19527,-2533
