"DateTime","Players","Average Players"
"2023-06-01 00:00:00",22653,14221
"2023-06-02 00:00:00",66317,51492
"2023-06-03 00:00:00",70573,60369
"2023-06-04 00:00:00",65655,57530
"2023-06-05 00:00:00",55793,46271
"2023-06-06 00:00:00",53595,43247
"2023-06-07 00:00:00",49785,40704
"2023-06-08 00:00:00",46582,37193
"2023-06-09 00:00:00",49677,38657
"2023-06-10 00:00:00",51814,43981
"2023-06-11 00:00:00",49857,42483
"2023-06-12 00:00:00",44257,33755
"2023-06-13 00:00:00",42966,31897
"2023-06-14 00:00:00",40218,29810
"2023-06-15 00:00:00",37704,28724
"2023-06-16 00:00:00",38599,29267
"2023-06-17 00:00:00",41230,33715
"2023-06-18 00:00:00",38908,32108
"2023-06-19 00:00:00",35775,26506
"2023-06-20 00:00:00",35872,25589
"2023-06-21 00:00:00",35000,25121
"2023-06-22 00:00:00",34835,24909
"2023-06-23 00:00:00",36130,25692
"2023-06-24 00:00:00",38588,29662
"2023-06-25 00:00:00",36840,28642
"2023-06-26 00:00:00",37711,24143
"2023-06-27 00:00:00",38699,24844
"2023-06-28 00:00:00",36572,23853
"2023-06-29 00:00:00",36169,23321
"2023-06-30 00:00:00",37501,24506
"2023-07-01 00:00:00",39834,29553
"2023-07-02 00:00:00",35393,27951
"2023-07-03 00:00:00",37901,23413
"2023-07-04 00:00:00",39312,23749
"2023-07-05 00:00:00",36622,22314
"2023-07-06 00:00:00",36364,22952
"2023-07-07 00:00:00",36980,23505
"2023-07-08 00:00:00",38912,28675
"2023-07-09 00:00:00",35819,27178
"2023-07-10 00:00:00",35189,21563
"2023-07-11 00:00:00",34684,20508
"2023-07-12 00:00:00",33789,20566
"2023-07-13 00:00:00",33800,20449
"2023-07-14 00:00:00",33479,21026
"2023-07-15 00:00:00",34099,24812
"2023-07-16 00:00:00",33316,24576
"2023-07-17 00:00:00",30830,21370
"2023-07-18 00:00:00",30661,18738
"2023-07-19 00:00:00",29450,18215
"2023-07-20 00:00:00",29045,17692
"2023-07-21 00:00:00",27911,17873
"2023-07-22 00:00:00",28680,20842
"2023-07-23 00:00:00",26509,19814
"2023-07-24 00:00:00",36190,21110
"2023-07-25 00:00:00",29555,18648
"2023-07-26 00:00:00",27938,17476
"2023-07-27 00:00:00",27243,17087
"2023-07-28 00:00:00",27453,17546
"2023-07-29 00:00:00",27409,19958
"2023-07-30 00:00:00",25048,18875
"2023-07-31 00:00:00",25311,15489
"2023-08-01 00:00:00",26262,16016
"2023-08-02 00:00:00",25476,15906
"2023-08-03 00:00:00",25337,15083
"2023-08-04 00:00:00",24228,14705
"2023-08-05 00:00:00",24727,17001
"2023-08-06 00:00:00",23199,16077
"2023-08-07 00:00:00",24276,14155
"2023-08-08 00:00:00",24813,14206
"2023-08-09 00:00:00",24074,15129
"2023-08-10 00:00:00",22303,14881
"2023-08-11 00:00:00",21733,15671
"2023-08-12 00:00:00",22321,16851
"2023-08-13 00:00:00",21593,16340
"2023-08-14 00:00:00",23211,15220
"2023-08-15 00:00:00",22972,15295
"2023-08-16 00:00:00",22393,14453
"2023-08-17 00:00:00",22281,13889
"2023-08-18 00:00:00",22826,13727
"2023-08-19 00:00:00",23291,16379
"2023-08-20 00:00:00",21563,15898
"2023-08-21 00:00:00",21894,13009
"2023-08-22 00:00:00",21829,12582
"2023-08-23 00:00:00",21819,12715
"2023-08-24 00:00:00",21146,12444
"2023-08-25 00:00:00",20005,12048
"2023-08-26 00:00:00",19792,14256
"2023-08-27 00:00:00",18963,13538
"2023-08-28 00:00:00",19308,11077
"2023-08-29 00:00:00",19570,11157
"2023-08-30 00:00:00",18889,11187
"2023-08-31 00:00:00",19447,11282
"2023-09-01 00:00:00",20828,11547
"2023-09-02 00:00:00",20945,14624
"2023-09-03 00:00:00",20262,14087
"2023-09-04 00:00:00",20965,12311
"2023-09-05 00:00:00",20812,11714
"2023-09-06 00:00:00",20488,11454
"2023-09-07 00:00:00",21330,11796
"2023-09-08 00:00:00",21980,12787
"2023-09-09 00:00:00",22564,15269
"2023-09-10 00:00:00",21612,14679
"2023-09-11 00:00:00",22371,12011
"2023-09-12 00:00:00",22054,11889
"2023-09-13 00:00:00",20611,11580
"2023-09-14 00:00:00",21954,11555
"2023-09-15 00:00:00",21993,12131
"2023-09-16 00:00:00",22015,14321
"2023-09-17 00:00:00",21665,14190
"2023-09-18 00:00:00",21381,12319
"2023-09-19 00:00:00",22262,11247
"2023-09-20 00:00:00",21799,11349
"2023-09-21 00:00:00",22281,11225
"2023-09-22 00:00:00",22445,11987
"2023-09-23 00:00:00",23482,14195
"2023-09-24 00:00:00",23298,13770
"2023-09-25 00:00:00",24815,11906
"2023-09-26 00:00:00",24647,12050
"2023-09-27 00:00:00",36263,18007
"2023-09-28 00:00:00",29037,16157
"2023-09-29 00:00:00",26599,15570
"2023-09-30 00:00:00",25873,17062
"2023-10-01 00:00:00",23918,15620
"2023-10-02 00:00:00",23374,12631
"2023-10-03 00:00:00",22565,12274
"2023-10-04 00:00:00",22218,12095
"2023-10-05 00:00:00",22004,11806
"2023-10-06 00:00:00",22456,12380
"2023-10-07 00:00:00",22677,14008
"2023-10-08 00:00:00",22091,13719
"2023-10-09 00:00:00",20868,12394
"2023-10-10 00:00:00",21206,10460
"2023-10-11 00:00:00",20735,10416
"2023-10-12 00:00:00",20942,10437
"2023-10-13 00:00:00",21243,11214
"2023-10-14 00:00:00",21558,13375
"2023-10-15 00:00:00",19555,12496
"2023-10-16 00:00:00",20583,10028
"2023-10-17 00:00:00",20388,9998
"2023-10-18 00:00:00",20565,10043
"2023-10-19 00:00:00",20377,9978
