"DateTime","Positive reviews","Negative reviews"
"2024-01-26 00:00:00",1987,-436
"2024-01-27 00:00:00",,
"2024-01-28 00:00:00",,
"2024-01-29 00:00:00",,
"2024-01-30 00:00:00",5126,-216
"2024-01-31 00:00:00",1147,-77
"2024-02-01 00:00:00",,
"2024-02-02 00:00:00",852,-84
"2024-02-03 00:00:00",816,-61
"2024-02-04 00:00:00",,
"2024-02-05 00:00:00",824,-80
"2024-02-06 00:00:00",636,-49
"2024-02-07 00:00:00",,
"2024-02-08 00:00:00",786,-54
"2024-02-09 00:00:00",530,-56
"2024-02-10 00:00:00",,
"2024-02-11 00:00:00",553,-81
"2024-02-12 00:00:00",,
"2024-02-13 00:00:00",562,-71
"2024-02-14 00:00:00",,
"2024-02-15 00:00:00",532,-69
"2024-02-16 00:00:00",,
"2024-02-17 00:00:00",431,-83
"2024-02-18 00:00:00",371,-48
"2024-02-19 00:00:00",,
"2024-02-20 00:00:00",376,-50
"2024-02-21 00:00:00",304,-283
"2024-02-22 00:00:00",,
"2024-02-23 00:00:00",297,-94
"2024-02-24 00:00:00",295,-57
"2024-02-25 00:00:00",,
"2024-02-26 00:00:00",304,-34
"2024-02-27 00:00:00",,
"2024-02-28 00:00:00",277,-42
"2024-02-29 00:00:00",282,-146
"2024-03-01 00:00:00",,
"2024-03-02 00:00:00",323,-138
"2024-03-03 00:00:00",,
"2024-03-04 00:00:00",313,-84
"2024-03-05 00:00:00",,
"2024-03-06 00:00:00",256,-48
"2024-03-07 00:00:00",,
"2024-03-08 00:00:00",208,-53
"2024-03-09 00:00:00",,
"2024-03-10 00:00:00",241,-50
"2024-03-11 00:00:00",,
"2024-03-12 00:00:00",239,-39
"2024-03-13 00:00:00",169,-46
"2024-03-14 00:00:00",,
"2024-03-15 00:00:00",182,-36
"2024-03-16 00:00:00",,
"2024-03-17 00:00:00",186,-66
"2024-03-18 00:00:00",189,-33
"2024-03-19 00:00:00",,
"2024-03-20 00:00:00",156,-40
"2024-03-21 00:00:00",,
"2024-03-22 00:00:00",128,-36
"2024-03-23 00:00:00",127,-33
"2024-03-24 00:00:00",,
"2024-03-25 00:00:00",136,-42
"2024-03-26 00:00:00",139,-36
"2024-03-27 00:00:00",,
"2024-03-28 00:00:00",104,-75
"2024-03-29 00:00:00",109,-108
"2024-03-30 00:00:00",,
"2024-03-31 00:00:00",111,-206
"2024-04-01 00:00:00",115,-71
"2024-04-02 00:00:00",,
"2024-04-03 00:00:00",141,-445
"2024-04-04 00:00:00",,
"2024-04-05 00:00:00",62,-491
"2024-04-06 00:00:00",,-554
"2024-04-07 00:00:00",13,-173
"2024-04-08 00:00:00",34,-206
"2024-04-09 00:00:00",,-310
"2024-04-10 00:00:00",,-315
"2024-04-11 00:00:00",32,-270
"2024-04-12 00:00:00",15,-256
"2024-04-13 00:00:00",27,-107
"2024-04-14 00:00:00",33,-128
"2024-04-15 00:00:00",25,-106
"2024-04-16 00:00:00",65,-94
"2024-04-17 00:00:00",48,-102
"2024-04-18 00:00:00",18,-66
"2024-04-19 00:00:00",23,-45
"2024-04-20 00:00:00",48,-102
"2024-04-21 00:00:00",17,-60
"2024-04-22 00:00:00",32,-238
"2024-04-23 00:00:00",33,-198
"2024-04-24 00:00:00",2,-215
"2024-04-25 00:00:00",32,-135
"2024-04-26 00:00:00",44,-103
"2024-04-27 00:00:00",56,-128
"2024-04-28 00:00:00",52,-119
"2024-04-29 00:00:00",58,-105
"2024-04-30 00:00:00",89,-92
"2024-05-01 00:00:00",77,-63
"2024-05-02 00:00:00",53,-72
"2024-05-03 00:00:00",76,-84
"2024-05-04 00:00:00",45,-41
"2024-05-05 00:00:00",64,-81
"2024-05-06 00:00:00",52,-64
"2024-05-07 00:00:00",55,-57
"2024-05-08 00:00:00",81,-70
"2024-05-09 00:00:00",57,-51
"2024-05-10 00:00:00",47,-32
"2024-05-11 00:00:00",36,-31
"2024-05-12 00:00:00",58,-71
"2024-05-13 00:00:00",34,-17
"2024-05-14 00:00:00",43,-38
"2024-05-15 00:00:00",32,-45
"2024-05-16 00:00:00",27,-23
"2024-05-17 00:00:00",35,-24
"2024-05-18 00:00:00",49,-36
"2024-05-19 00:00:00",20,-34
"2024-05-20 00:00:00",43,-33
"2024-05-21 00:00:00",32,-10
"2024-05-22 00:00:00",29,-8
"2024-05-23 00:00:00",22,-26
"2024-05-24 00:00:00",30,-21
"2024-05-25 00:00:00",25,-17
"2024-05-26 00:00:00",28,-18
"2024-05-27 00:00:00",22,-7
"2024-05-28 00:00:00",24,-12
"2024-05-29 00:00:00",38,-12
"2024-05-30 00:00:00",25,-30
"2024-05-31 00:00:00",26,-17
"2024-06-01 00:00:00",30,-30
"2024-06-02 00:00:00",39,-22
"2024-06-03 00:00:00",42,-23
"2024-06-04 00:00:00",33,-22
"2024-06-05 00:00:00",21,-15
"2024-06-06 00:00:00",38,-34
"2024-06-07 00:00:00",33,-17
"2024-06-08 00:00:00",38,-16
"2024-06-09 00:00:00",44,-18
"2024-06-10 00:00:00",24,-23
"2024-06-11 00:00:00",67,-10
"2024-06-12 00:00:00",31,-8
"2024-06-13 00:00:00",55,-16
"2024-06-14 00:00:00",24,-14
"2024-06-15 00:00:00",38,-14
"2024-06-16 00:00:00",45,-11
"2024-06-17 00:00:00",49,-13
"2024-06-18 00:00:00",17,-5
"2024-06-19 00:00:00",37,-12
"2024-06-20 00:00:00",24,-6
"2024-06-21 00:00:00",33,-18
"2024-06-22 00:00:00",6,-3
"2024-06-23 00:00:00",37,-13
"2024-06-24 00:00:00",16,-13
"2024-06-25 00:00:00",19,-13
"2024-06-26 00:00:00",19,-11
"2024-06-27 00:00:00",17,-16
"2024-06-28 00:00:00",28,-10
"2024-06-29 00:00:00",64,-23
"2024-06-30 00:00:00",58,-21
"2024-07-01 00:00:00",37,-25
"2024-07-02 00:00:00",38,-19
"2024-07-03 00:00:00",56,-25
"2024-07-04 00:00:00",29,-16
"2024-07-05 00:00:00",52,-11
"2024-07-06 00:00:00",56,-20
"2024-07-07 00:00:00",37,-23
"2024-07-08 00:00:00",45,-17
"2024-07-09 00:00:00",37,-12
"2024-07-10 00:00:00",41,-9
"2024-07-11 00:00:00",27,-15
"2024-07-12 00:00:00",30,-20
"2024-07-13 00:00:00",34,-18
"2024-07-14 00:00:00",43,-9
"2024-07-15 00:00:00",43,-13
"2024-07-16 00:00:00",33,-12
"2024-07-17 00:00:00",49,-27
"2024-07-18 00:00:00",17,-18
"2024-07-19 00:00:00",28,-8
"2024-07-20 00:00:00",37,-14
"2024-07-21 00:00:00",46,-25
"2024-07-22 00:00:00",122,-21
"2024-07-23 00:00:00",118,-7
"2024-07-24 00:00:00",72,-10
"2024-07-25 00:00:00",59,-19
"2024-07-26 00:00:00",62,-12
"2024-07-27 00:00:00",46,-13
"2024-07-28 00:00:00",64,-7
"2024-07-29 00:00:00",24,-9
"2024-07-30 00:00:00",32,-8
"2024-07-31 00:00:00",56,-13
"2024-08-01 00:00:00",31,-14
"2024-08-02 00:00:00",39,
"2024-08-03 00:00:00",19,-3
"2024-08-04 00:00:00",50,-20
"2024-08-05 00:00:00",29,-10
"2024-08-06 00:00:00",54,-12
"2024-08-07 00:00:00",52,-7
"2024-08-08 00:00:00",19,-9
"2024-08-09 00:00:00",16,-5
"2024-08-10 00:00:00",26,-13
"2024-08-11 00:00:00",31,-16
"2024-08-12 00:00:00",19,-12
"2024-08-13 00:00:00",21,-11
"2024-08-14 00:00:00",29,-8
"2024-08-15 00:00:00",31,
"2024-08-16 00:00:00",32,-10
"2024-08-17 00:00:00",19,-9
"2024-08-18 00:00:00",27,-3
"2024-08-19 00:00:00",25,-17
"2024-08-20 00:00:00",23,-4
"2024-08-21 00:00:00",31,-11
"2024-08-22 00:00:00",24,-4
"2024-08-23 00:00:00",23,-4
"2024-08-24 00:00:00",34,-10
"2024-08-25 00:00:00",23,-7
"2024-08-26 00:00:00",31,-9
"2024-08-27 00:00:00",28,-5
"2024-08-28 00:00:00",12,-5
"2024-08-29 00:00:00",16,-15
"2024-08-30 00:00:00",27,-9
"2024-08-31 00:00:00",20,-12
"2024-09-01 00:00:00",22,-18
"2024-09-02 00:00:00",30,-9
"2024-09-03 00:00:00",41,-9
"2024-09-04 00:00:00",40,-5
"2024-09-05 00:00:00",31,-4
"2024-09-06 00:00:00",14,-8
"2024-09-07 00:00:00",29,-6
"2024-09-08 00:00:00",29,-7
"2024-09-09 00:00:00",22,-15
"2024-09-10 00:00:00",17,-6
"2024-09-11 00:00:00",27,-5
"2024-09-12 00:00:00",11,-15
"2024-09-13 00:00:00",31,-4
"2024-09-14 00:00:00",29,
"2024-09-15 00:00:00",22,-25
"2024-09-16 00:00:00",28,-3
"2024-09-17 00:00:00",24,-10
"2024-09-18 00:00:00",21,-13
"2024-09-19 00:00:00",11,-5
"2024-09-20 00:00:00",18,-17
"2024-09-21 00:00:00",13,-19
"2024-09-22 00:00:00",15,-6
"2024-09-23 00:00:00",14,-8
"2024-09-24 00:00:00",22,-19
"2024-09-25 00:00:00",10,
"2024-09-26 00:00:00",42,-8
"2024-09-27 00:00:00",25,-19
"2024-09-28 00:00:00",46,-21
"2024-09-29 00:00:00",40,-8
"2024-09-30 00:00:00",66,-20
"2024-10-01 00:00:00",29,-249
"2024-10-02 00:00:00",27,-112
"2024-10-03 00:00:00",54,-66
"2024-10-04 00:00:00",32,-121
"2024-10-05 00:00:00",25,-122
"2024-10-06 00:00:00",,-399
"2024-10-07 00:00:00",,-390
"2024-10-08 00:00:00",34,-274
"2024-10-09 00:00:00",32,-191
"2024-10-10 00:00:00",14,-149
"2024-10-11 00:00:00",24,-58
"2024-10-12 00:00:00",31,-66
"2024-10-13 00:00:00",19,-63
"2024-10-14 00:00:00",16,-45
"2024-10-15 00:00:00",24,-36
"2024-10-16 00:00:00",12,-39
"2024-10-17 00:00:00",58,-30
"2024-10-18 00:00:00",34,-7
"2024-10-19 00:00:00",18,-19
"2024-10-20 00:00:00",33,-22
"2024-10-21 00:00:00",31,-14
"2024-10-22 00:00:00",19,-12
"2024-10-23 00:00:00",15,-14
"2024-10-24 00:00:00",20,-7
"2024-10-25 00:00:00",22,-15
"2024-10-26 00:00:00",18,-21
"2024-10-27 00:00:00",22,-15
"2024-10-28 00:00:00",22,-6
"2024-10-29 00:00:00",46,-17
"2024-10-30 00:00:00",30,-10
"2024-10-31 00:00:00",23,-13
"2024-11-01 00:00:00",15,-6
"2024-11-02 00:00:00",22,-10
"2024-11-03 00:00:00",32,-28
"2024-11-04 00:00:00",12,-6
"2024-11-05 00:00:00",28,-3
"2024-11-06 00:00:00",4,-3
"2024-11-07 00:00:00",14,-12
"2024-11-08 00:00:00",19,-9
"2024-11-09 00:00:00",11,-7
"2024-11-10 00:00:00",45,-29
"2024-11-11 00:00:00",14,-7
"2024-11-12 00:00:00",15,
"2024-11-13 00:00:00",38,-7
"2024-11-14 00:00:00",23,-6
"2024-11-15 00:00:00",16,-11
"2024-11-16 00:00:00",19,-17
"2024-11-17 00:00:00",16,-15
"2024-11-18 00:00:00",17,-9
"2024-11-19 00:00:00",28,-6
"2024-11-20 00:00:00",15,-5
"2024-11-21 00:00:00",6,-13
"2024-11-22 00:00:00",14,-7
"2024-11-23 00:00:00",22,-5
"2024-11-24 00:00:00",19,-11
"2024-11-25 00:00:00",29,-11
"2024-11-26 00:00:00",9,-1
"2024-11-27 00:00:00",320,-6
"2024-11-28 00:00:00",949,-63
"2024-11-29 00:00:00",678,-53
"2024-11-30 00:00:00",323,-30
"2024-12-01 00:00:00",320,-23
"2024-12-02 00:00:00",284,-23
"2024-12-03 00:00:00",228,-19
"2024-12-04 00:00:00",223,-18
"2024-12-05 00:00:00",39,-12
"2024-12-06 00:00:00",28,-1
"2024-12-07 00:00:00",38,-14
"2024-12-08 00:00:00",35,-7
"2024-12-09 00:00:00",13,-2
"2024-12-10 00:00:00",22,-3
"2024-12-11 00:00:00",30,-16
"2024-12-12 00:00:00",20,-5
"2024-12-13 00:00:00",1,-55
"2024-12-14 00:00:00",57,-48
"2024-12-15 00:00:00",46,-11
"2024-12-16 00:00:00",59,-13
"2024-12-17 00:00:00",96,-8
"2024-12-18 00:00:00",65,-44
"2024-12-19 00:00:00",66,-28
"2024-12-20 00:00:00",38,-15
"2024-12-21 00:00:00",46,-19
"2024-12-22 00:00:00",30,-34
"2024-12-23 00:00:00",36,-16
"2024-12-24 00:00:00",39,-13
"2024-12-25 00:00:00",53,-23
"2024-12-26 00:00:00",42,-25
"2024-12-27 00:00:00",41,-24
"2024-12-28 00:00:00",40,-16
"2024-12-29 00:00:00",42,-27
"2024-12-30 00:00:00",40,-28
"2024-12-31 00:00:00",32,-20
"2025-01-01 00:00:00",47,-2
"2025-01-02 00:00:00",59,-9
