"DateTime","Players","Average Players"
"2024-01-25 00:00:00",40469,22330
"2024-01-26 00:00:00",49977,42519
"2024-01-27 00:00:00",45732,41664
"2024-01-28 00:00:00",43057,39397
"2024-01-29 00:00:00",35916,31500
"2024-01-30 00:00:00",34259,30081
"2024-01-31 00:00:00",33186,28845
"2024-02-01 00:00:00",31840,27882
"2024-02-02 00:00:00",33221,28462
"2024-02-03 00:00:00",36555,32267
"2024-02-04 00:00:00",34591,31676
"2024-02-05 00:00:00",28591,25256
"2024-02-06 00:00:00",27835,24140
"2024-02-07 00:00:00",27286,21922
"2024-02-08 00:00:00",26200,23513
"2024-02-09 00:00:00",26839,23619
"2024-02-10 00:00:00",29807,26177
"2024-02-11 00:00:00",30095,26452
"2024-02-12 00:00:00",24393,22204
"2024-02-13 00:00:00",25083,21060
"2024-02-14 00:00:00",23491,19352
"2024-02-15 00:00:00",23576,19145
"2024-02-16 00:00:00",25662,21223
"2024-02-17 00:00:00",28466,24423
"2024-02-18 00:00:00",26758,23516
"2024-02-19 00:00:00",23420,19980
"2024-02-20 00:00:00",23377,19199
"2024-02-21 00:00:00",22879,18867
"2024-02-22 00:00:00",22211,18216
"2024-02-23 00:00:00",23694,19441
"2024-02-24 00:00:00",25467,21586
"2024-02-25 00:00:00",24326,21117
"2024-02-26 00:00:00",20708,17000
"2024-02-27 00:00:00",20468,16910
"2024-02-28 00:00:00",20591,16843
"2024-02-29 00:00:00",21668,15822
"2024-03-01 00:00:00",21786,18359
"2024-03-02 00:00:00",23371,20085
"2024-03-03 00:00:00",22016,19254
"2024-03-04 00:00:00",18994,15723
"2024-03-05 00:00:00",19219,15577
"2024-03-06 00:00:00",18582,15261
"2024-03-07 00:00:00",18640,15248
"2024-03-08 00:00:00",20413,16395
"2024-03-09 00:00:00",21840,18552
"2024-03-10 00:00:00",20232,17969
"2024-03-11 00:00:00",17932,14811
"2024-03-12 00:00:00",17884,14437
"2024-03-13 00:00:00",17352,14168
"2024-03-14 00:00:00",17853,13326
"2024-03-15 00:00:00",18986,15399
"2024-03-16 00:00:00",20441,17296
"2024-03-17 00:00:00",18896,16533
"2024-03-18 00:00:00",16606,13408
"2024-03-19 00:00:00",16573,13336
"2024-03-20 00:00:00",15635,13015
"2024-03-21 00:00:00",15380,12447
"2024-03-22 00:00:00",16441,12835
"2024-03-23 00:00:00",17925,14883
"2024-03-24 00:00:00",16688,14119
"2024-03-25 00:00:00",14365,11472
"2024-03-26 00:00:00",14283,11243
"2024-03-27 00:00:00",13712,10963
"2024-03-28 00:00:00",14409,11375
"2024-03-29 00:00:00",16176,12585
"2024-03-30 00:00:00",16097,13361
"2024-03-31 00:00:00",15231,12995
"2024-04-01 00:00:00",14741,10800
"2024-04-02 00:00:00",16814,12381
"2024-04-03 00:00:00",14889,11909
"2024-04-04 00:00:00",14522,11365
"2024-04-05 00:00:00",15946,12270
"2024-04-06 00:00:00",16319,13542
"2024-04-07 00:00:00",15294,12764
"2024-04-08 00:00:00",13620,10533
"2024-04-09 00:00:00",13945,10611
"2024-04-10 00:00:00",12673,10656
"2024-04-11 00:00:00",12760,9884
"2024-04-12 00:00:00",13823,10590
"2024-04-13 00:00:00",14614,11813
"2024-04-14 00:00:00",13492,11302
"2024-04-15 00:00:00",12006,9283
"2024-04-16 00:00:00",12614,8534
"2024-04-17 00:00:00",11970,9202
"2024-04-18 00:00:00",12007,9142
"2024-04-19 00:00:00",13178,9764
