"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","2020-M04","2020-M05","2020-M06","2020-M07","2020-M08","2020-M09","2020-M10","2020-M11","2020-M12","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Батон","Місячна","13.93","13.95","13.96","14.03","13.97","14.08","14.17","14.56","14.75","14.89","15.42","15.86","16.11","16.27","16.33","16.41","16.43","16.68","17.1","17.55","17.88","18.1","18.63","18.93","19.67","19.74","20.27","20.64","20.74","20.86","21.06","21.25","21.48","21.83","21.95","22.14","22.3","22.25","22.33","22.38","22.53","22.66","22.8","22.96","22.96","23.04","23.13","23.28","23.43","23.63","23.98","24.6","25.39","26","26.26","26.94","27.78","28.46","28.62","28.96"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Яйця","Місячна","16.34","19.06","19.1","16.22","16.79","17.99","22.19","23.71","27.48","32.31","32.26","32.02","31.8","26.24","22.09","22.13","26.29","29.98","30.3","30.63","33.79","35.46","33.44","34.26","24.8","19.39","22.72","24.7","28.53","35.08","57.01","63.33","62.03","63.12","61.95","63.11","57.78","44.5","42.39","38.99","39.02","44.18","48.75","49.37","56.18","51.02","49.6","41.54","33.45","28.55","32.97","29.28","31.44","35.27","41.78","65.05","64.24","49.39","51.14","60.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Пиво вітчизняних марок","Місячна","17.44","17.61","17.58","17.61","17.59","17.53","17.66","17.46","17.49","17.93","18.06","18.14","18.35","18.23","18.59","18.77","18.84","19.05","18.94","19.19","19.2","19.64","19.93","20.5","22.79","24.71","26.3","26.63","27.28","27.6","27.94","28.55","28.54","29.11","29.53","30.04","30.49","31.03","31.17","31.26","31.31","31.46","31.42","31.66","31.79","31.8","31.89","31.65","31.92","31.93","31.96","32.61","32.56","33.22","33.59","33.86","34","34.3","34.24","34.95"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Батон","Місячна","13.91","13.94","13.94","14.4","14.4","14.62","14.91","15.15","15.15","15.66","15.88","16.39","16.64","16.66","16.9","16.9","16.97","17.06","17.06","17.43","17.9","19.2","19.81","20.6","21.06","21.36","21.52","21.73","22.35","22.46","22.66","22.87","22.7","23.06","22.86","22.88","23.08","23.3","23.55","23.98","24.17","24.17","24.17","24.41","24.72","25.04","25.04","24.96","25.14","25.17","26.04","26.09","26.51","26.73","26.91","27.3","28.41","31.74","31.79","32.18"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Яйця","Місячна","16.29","18.11","18.15","14.71","15.31","17.18","21.95","23.15","27.21","30.98","30.15","30.75","29.58","23.53","21.43","21.08","25.1","29.39","29.25","30.11","32.95","34.48","32.29","33.42","23.33","20.1","22.67","25.19","27.73","34.83","55.41","59.47","57.74","59.56","57.57","57.91","53.08","38.85","38.24","35.35","38.71","43.74","48.32","48.94","55.11","47.77","45.7","36.37","29.12","25.95","31.96","28.1","29.67","34.85","43.5","63.95","61.87","47.34","47.12","60.75"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Пиво вітчизняних марок","Місячна","16.8","16.97","17.12","17.12","17.01","17.16","16.68","16.89","16.89","17.09","17.09","17.09","17.66","17.35","17.69","17.81","17.78","17.76","17.77","17.91","17.58","17.91","18.31","18.42","20.99","23.79","25.15","25.31","26.04","27","27.64","27.93","28.11","30.37","30.42","30.7","30.82","31.17","31.61","31.7","31.95","31.83","31.64","31.43","31.73","32.96","32.66","32.71","32.49","32.65","31.64","32.37","33.15","33","33.84","33.95","33.97","35.41","34.73","35.39"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Батон","Місячна","15.8","16.29","16.51","16.61","16.07","16.07","16.2","17.43","17.38","16.35","17.1","17.73","17.83","18.16","18.16","18.33","18.33","18.33","18.55","19.67","20.16","19.04","20.1","20.42","20.92","20.07","20.72","20.72","21.61","21.71","22.6","22.92","22.92","22.25","22.68","22.68","22.89","23.09","23.36","23.36","23.48","23.48","23.48","23.71","23.92","23.92","25.15","25.34","25.88","25.88","25.88","26.55","27.03","28.37","29.97","30.67","31.82","32.13","32.13","32.73"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Яйця","Місячна","15.11","18.44","18.04","16.12","15.35","15.96","21.42","22.87","25.95","31.6","29.48","28.3","29.85","22.49","19.26","20.72","26.65","30.13","29.11","28.97","31.79","34.45","29.93","30.79","19.76","16.21","19.1","23.57","27.45","34.19","54.97","63.18","62.24","62.1","58.87","62.82","55.66","37.69","37.26","36.15","36.76","43.22","47.72","46.63","55.59","48.78","48.64","36.52","28.31","23.67","30.67","26.96","30.41","35.31","42.96","61.62","59.79","42.4","44.7","57.3"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Пиво вітчизняних марок","Місячна","18.57","17.86","19.37","19.24","18.65","18.98","19.03","17.72","17.78","17.85","18.73","19.14","19.13","18.87","18.23","19.29","18.69","18.54","19.09","19.18","19.04","22.59","23.32","26.25","27.19","27.36","29.19","29.85","30.73","30.82","29.52","30.68","30.56","30.72","30.98","33.12","32.01","32.6","32.4","32.92","32.13","32.21","31.61","32.45","33.07","31.35","34.39","33.02","32.54","33.93","33.01","32.88","34.9","35.22","35.16","32.85","35.04","35.28","34.46","35.91"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Дніпропетровська","Батон","Місячна","12.63","12.48","12.25","12.53","12.37","12.53","12.37","12.83","13.18","13.56","14.55","14.51","14.99","14.84","14.84","14.9","14.9","15.11","15.16","15.68","15.79","17.3","17.96","17.96","18.87","19.08","19.48","20.55","20.71","20.97","21.43","21.5","21.91","21.91","21.69","22.2","22.2","22.27","22.19","22.66","22.71","22.71","22.87","22.2","22.04","22.35","22.29","22.93","23.77","23.4","23.99","24.83","25.58","25.73","26.54","27.04","27.69","28.24","28.58","28.42"
