NAME_NEW,VALUE,GID_1
Cherkasy Oblast,57%,UKR.1
Chernihiv Oblast,66%,UKR.2
Chernivtsi Oblast,43%,UKR.3
Crimea,-,UKR.4
Dnipropetrovsk Oblast,84%,UKR.5
Donetsk Oblast,91%,UKR.6
Ivano-Frankivsk Oblast,45%,UKR.7
Kharkiv Oblast,81%,UKR.8
Kherson Oblast,61%,UKR.9
Khmelnytskyi Oblast,58%,UKR.10
Kyiv City,100%,UKR.11
Kyiv Oblast,62%,UKR.12
Kirovohrad Oblast,64%,UKR.13
L’viv Oblast,61%,UKR.14
Luhansk Oblast,87%,UKR.15
Mykolaiv Oblast,69%,UKR.16
Odesa Oblast,67%,UKR.17
Poltava Oblast,63%,UKR.18
Rivne Oblast,47%,UKR.19
Sevastopol City,-,UKR.20
Sumy Oblast,70%,UKR.21
Ternopil Oblast,46%,UKR.22
Vinnytsia Oblast,52%,UKR.23
Volyn Oblast,52%,UKR.24
Zakarpattia Oblast,37%,UKR.25
Zaporizhzhia Oblast,78%,UKR.26
Zhytomyr Oblast,60%,UKR.27
