Entity,Year,Births attended by skilled health staff (% of total)
Afghanistan,2000,12.4
Afghanistan,2003,14.3
Afghanistan,2006,18.9
Afghanistan,2008,24
Afghanistan,2010,34.3
Afghanistan,2011,38.6
Afghanistan,2012,39.9
Afghanistan,2014,45.2
Afghanistan,2015,50.5
Afghanistan,2017,53.4
Afghanistan,2018,58.8
Afghanistan,2020,61.8
Albania,1989,92.7
Albania,1990,93
Albania,1991,92.6
Albania,1992,86.4
Albania,1993,87.2
Albania,1994,89.1
Albania,1995,89.1
Albania,1996,91.2
Albania,1997,98.8
Albania,1998,99.1
Albania,1999,99
Albania,2000,99.1
Albania,2001,99
Albania,2002,98
Albania,2003,98.8
Albania,2004,99.3
Albania,2005,99.8
Albania,2006,99
Albania,2009,99.3
Albania,2018,99.8
Algeria,1992,76.5
Algeria,2000,92
Algeria,2002,95.9
Algeria,2006,95.2
Algeria,2013,96.6
Algeria,2019,98.8
American Samoa,2002,100
Andorra,2015,100
Andorra,2016,100
Andorra,2017,100
Angola,1996,22.5
Angola,2001,44.7
Angola,2007,47.3
Angola,2016,49.6
Antigua and Barbuda,1995,100
Antigua and Barbuda,1996,100
Antigua and Barbuda,1998,100
Antigua and Barbuda,2000,99.9
Antigua and Barbuda,2001,100
Antigua and Barbuda,2002,99
Antigua and Barbuda,2003,99
Antigua and Barbuda,2004,100
Antigua and Barbuda,2005,99.9
Antigua and Barbuda,2006,99.9
Antigua and Barbuda,2007,100
Antigua and Barbuda,2008,100
Antigua and Barbuda,2009,100
Antigua and Barbuda,2010,100
Antigua and Barbuda,2012,100
Antigua and Barbuda,2013,100
Antigua and Barbuda,2014,100
Antigua and Barbuda,2015,100
Antigua and Barbuda,2017,100
Antigua and Barbuda,2020,99
Argentina,1990,96.9
Argentina,1992,95.8
Argentina,1995,98.5
Argentina,1997,97.2
Argentina,1998,97.5
Argentina,1999,97.5
Argentina,2000,99.1
Argentina,2001,98.4
Argentina,2002,98.9
Argentina,2003,98.7
Argentina,2004,99.1
Argentina,2005,99.1
Argentina,2006,99.4
Argentina,2007,99.4
Argentina,2008,94.8
Argentina,2009,97.9
Argentina,2010,95
Argentina,2011,97.1
Argentina,2012,98.2
Argentina,2013,97
Argentina,2014,99.6
Argentina,2015,99.6
Argentina,2016,98.4
Argentina,2017,93.9
Argentina,2018,99.5
Argentina,2019,99.6
Argentina,2020,98.8
Armenia,1989,99.7
Armenia,1990,99.7
Armenia,1991,99.7
Armenia,1992,98.3
Armenia,1993,95.5
Armenia,1994,93.3
Armenia,1995,93.1
Armenia,1996,95.7
Armenia,1997,96.4
Armenia,1998,97.4
Armenia,1999,98.8
Armenia,2000,96.8
Armenia,2001,98.4
Armenia,2002,98.8
Armenia,2003,99.2
Armenia,2004,99.5
Armenia,2005,97.8
Armenia,2006,99.7
Armenia,2007,99.9
Armenia,2008,99.9
Armenia,2009,100
Armenia,2010,99.5
Armenia,2011,100
Armenia,2012,100
Armenia,2013,100
Armenia,2014,100
Armenia,2016,99.8
Aruba,2002,96
Australia,1991,99.6
Australia,1992,99.3
Australia,1993,99.3
Australia,1994,99.4
Australia,1995,99.3
Australia,1996,99.3
Australia,1997,99.3
Australia,1998,99.3
Australia,1999,99.3
Australia,2000,99.3
Australia,2001,99.3
Australia,2002,99.3
Australia,2003,99.3
Australia,2004,99.3
Australia,2005,99.4
Australia,2006,99.3
Australia,2007,99.2
Australia,2008,99.1
Australia,2009,99.1
Australia,2010,99.1
Australia,2011,99.1
Australia,2012,99.2
Australia,2013,99
Australia,2014,99.8
Australia,2015,98.8
Australia,2016,98.8
Australia,2017,99.4
Australia,2018,98.7
Australia,2019,98.8
Australia,2020,96
Austria,1993,100
Austria,1996,98.2
Austria,1997,98.2
Austria,1998,98.3
Austria,1999,98.3
Austria,2000,98.3
Austria,2001,98.3
Austria,2002,98.4
Austria,2003,98.4
Austria,2004,98.4
Austria,2005,98.6
Austria,2006,98.6
Austria,2007,98.5
Austria,2008,98.6
Austria,2009,98.6
Austria,2010,98.5
Austria,2011,98.6
Austria,2012,98.5
Austria,2013,98.5
Austria,2014,98.5
Austria,2015,98.5
Austria,2016,98.4
Austria,2017,98.4
Austria,2018,98.4
Austria,2019,98.4
Austria,2020,98.1
Azerbaijan,1989,97.3
Azerbaijan,1990,97.3
Azerbaijan,1991,97.2
Azerbaijan,1992,96.5
Azerbaijan,1993,96.3
Azerbaijan,1994,99.6
Azerbaijan,1995,91.5
Azerbaijan,1996,87.9
Azerbaijan,1997,90.4
Azerbaijan,1998,91.5
Azerbaijan,1999,92.4
Azerbaijan,2000,80.7
Azerbaijan,2001,88
Azerbaijan,2002,94
Azerbaijan,2003,95.8
Azerbaijan,2004,95.9
Azerbaijan,2005,94.4
Azerbaijan,2006,88.6
Azerbaijan,2007,93
Azerbaijan,2008,98
Azerbaijan,2009,99.8
Azerbaijan,2010,99.4
Azerbaijan,2011,97.2
Azerbaijan,2012,99.8
Azerbaijan,2013,99.9
Azerbaijan,2014,99.9
Azerbaijan,2015,99.8
Azerbaijan,2016,99.8
Azerbaijan,2017,99.8
Azerbaijan,2018,99.4
Azerbaijan,2019,99.9
Azerbaijan,2020,99.9
Azerbaijan,2021,99.9
Bahamas,1990,99
Bahamas,1995,99
Bahamas,1997,99
Bahamas,1998,99
Bahamas,1999,99
Bahamas,2000,99
Bahamas,2001,99
Bahamas,2002,99
Bahamas,2003,99
Bahamas,2004,98
Bahamas,2005,98.7
Bahamas,2006,99
Bahamas,2007,98.4
Bahamas,2008,98.5
Bahamas,2009,98.9
Bahamas,2010,99.1
Bahamas,2011,99.1
Bahamas,2012,98.9
Bahamas,2013,98.6
Bahamas,2014,98.9
Bahamas,2015,98
Bahamas,2016,99
Bahamas,2018,99
Bahamas,2019,99
Bahrain,1995,97.6
Bahrain,2000,97.7
Bahrain,2001,97.5
Bahrain,2002,97.6
Bahrain,2003,97.8
Bahrain,2004,97.7
Bahrain,2005,97.5
Bahrain,2006,97.5
