id,time,description,mcc,originalMcc,amount,operationAmount,currencyCode,commissionRate,cashbackAmount,balance,hold,receiptId
d5qj_0jYOJaVXQ,1522436289,Uber,4121,4121,-12735,-12735,980,0,0,70413,False,KC87-70A1-7460-65B5
SVLWLY_PctPDhw,1522430698,АТБ,5499,5499,-24850,-24850,980,0,994,83148,False,9AE8-P7M5-8B8P-TP56
5--xv8ldDfL14w,1522428488,Київський метрополiтен,4111,4111,-500,-500,980,0,0,107998,False,PEKC-C0E5-7P2K-0ACH
17_sRZtJeq_s4w,1522393723,Київський метрополiтен,4111,4111,-500,-500,980,0,0,108498,False,0990-5803-H38K-T7T4
j8LyUh7K5v_wIA,1522305145,Novus,5411,5411,-17745,-17745,980,0,709,108998,False,A97A-625C-X74E-A8B2
jHLSCsEnIZfz4A,1522268770,Uber,4121,4121,-15616,-15616,980,0,0,126743,False,1E24-A8EE-K22K-C4AB
--AOxr-NOzGARA,1522255374,Uber,4121,4121,-12607,-12607,980,0,0,142359,False,3CE7-XTCB-4T8E-M8TH
v4zBBvoH71banQ,1522254877,Київський метрополiтен,4111,4111,-500,-500,980,0,0,154966,False,CM3H-E2EX-CMAE-27MA
wPWFVhTMT2ICBA,1522233738,Lesya,на обед для детки,4829,4829,-20800,-20800,980,800,0,155466,True,M96E-M623-M33A-8197
dQgtQ5xyLpWmQg,1522227899,McDonald's,5814,5814,-8200,-8200,980,0,328,176266,False,7109-E934-6T12-EB8C
aRDGsanRaQUJ5g,1522227050,Київський метрополiтен,4111,4111,-500,-500,980,0,0,184466,False,7H4P-PB4T-M1E9-M797
oZaMP2cSyNlMuQ,1522226678,FOP BABIN AP,5812,5812,-16000,-16000,980,0,640,184966,False,KKEC-5C2X-A512-EXE3
2Zd9K-e9Z0mEag,1522176168,Uber,4121,4121,-10200,-10200,980,0,0,200966,False,964P-7368-8HB0-4ME6
B1uuFByeJK0muQ,1522168109,Uber,4121,4121,-21827,-21827,980,0,0,211166,False,5M89-3947-2C3B-CTKC
guUASksKAwgTZg,1522142183,McDonald's,5814,5814,-8600,-8600,980,0,344,232993,False,3897-7EC2-AC01-4135
WOAnnSy9u0CE5A,1522093010,Uber,4121,4121,-24755,-24755,980,0,0,241593,False,E0P3-XMP9-AM84-A8HA
qcN9CEKgFd6OcA,1522091326,АТБ,5411,5411,-20260,-20260,980,0,810,266348,False,4T18-X867-7EPM-6580
xfkSDZ1PruqsdQ,1522088957,Київський метрополiтен,4111,4111,-500,-500,980,0,0,286608,False,XXX6-8P90-2238-C69K
uhPiBNYToBxFew,1522065591,Uber,4121,4121,-4522,-4522,980,0,0,287108,False,KH3C-AKEC-32K0-5HA9
t50cO83DPM2EzA,1522053233,Київський метрополiтен,4111,4111,-500,-500,980,0,0,291630,False,45A6-C6H2-9BA1-KK0A
_zKts7M6yPx8CQ,1521917212,Uber,4121,4121,-12649,-12649,980,0,0,292130,False,30B0-41C2-B19X-H9X6
GiKwOxn7J8-T1g,1521915669,Uber,4121,4121,-1000,-1000,980,0,0,304779,False,CBM3-X12P-93AM-X3CX
Tj1JZu055yx3QA,1521904461,Uber,4121,4121,-11395,-11395,980,0,0,305779,False,1AEK-B943-K4AM-0CH7
EpxPgurQfiAX4A,1521889126,magazinPRODUKTI,5499,5499,-13440,-13440,980,0,537,317174,False,1XTB-364T-12HX-753A
VaxuRmtcs9Wdjw,1521878992,Uber,4121,4121,-7099,-7099,980,0,0,330614,False,KMEM-56KA-9XC7-XE4K
0Oy4MBiWePwzSQ,1521829626,АТБ,5411,5411,-16680,-16680,980,0,667,337713,False,E2EM-MKTA-3EPM-9287
WnhEYp8O2Y3DHg,1521827085,THE BLUE CAP,5812,5812,-11700,-11700,980,0,468,354393,False,80X5-1BA9-B79P-9TP8
u3nf0WLOf-VZWg,1521745552,Uber,4121,4121,-2000,-2000,980,0,0,366093,False,9MPP-P5PM-2082-3MEX
tQhvN3pEqwPuhg,1521744888,Uber,4121,4121,-13315,-13315,980,0,0,368093,False,0EAP-P6BT-8BK9-7396
ZvwxmQtx0MxgTg,1521655154,Novus,5499,5499,-81429,-81429,980,0,3257,381408,False,B5M9-B130-H9C7-4294
8_G7-Gq8b-doNQ,1521652796,Київський метрополiтен,4111,4111,-500,-500,980,0,0,462837,False,X55T-C5CB-TA8M-TCKH
qm0knf39rL6usw,1521556718,Sanatrelo75N4F3Y8N4SHC,5812,5812,-91400,-91400,980,0,3656,463337,False,0H89-C72C-T22C-T5HA
mIruvFeq8rLEMQ,1521556678,Sanatrelo75N4F3Y8N4SHC,5812,5812,-5500,-5500,980,0,220,554737,False,4XT3-M7KM-B14C-7MCK
nq2rRKApUJTqEA,1521480011,Київський метрополiтен,4111,4111,-500,-500,980,0,0,560237,False,KA2H-68E4-8TP0-H9E2
W3drO0HlyQD9wg,1521465579,RESTORAN KHMILNYY KNYA,5812,5812,-1000,-1000,980,0,40,560737,False,THTK-5557-B43A-8333
_8Tx2G9CHrLq5g,1521465555,RESTAURANT KHMILNYY KN,5812,5812,-68000,-68000,980,0,2720,561737,False,C0CT-2H1M-2BAM-5026
5HzZtX2PwP6CTg,1521394473,Київський метрополiтен,4111,4111,-500,-500,980,0,0,629737,False,4EP3-K55K-49P0-3PTH
M8bIxLPrgrbqhw,1521374299,Фора,5499,5499,-12268,-12268,980,0,490,630237,False,1CA0-T8K5-4T3B-0T7E
-88GKitLik4P7w,1521300687,АТБ,5411,5411,-29170,-29170,980,0,1166,642505,False,HBC2-5P1B-0H26-C2H0
RSY2QJT_P3RqsA,1521159713,Uber,4121,4121,-2500,-2500,980,0,0,671675,False,17A5-7687-13T8-K854
4vY9He3BuiFwIQ,1521158821,VETERENARNYY GOSPITAL,742,742,-136500,-136500,980,0,0,674175,False,17A7-KT7B-9T21-CATX
eeXhvXjLiQtdhg,1521149146,Uber,4121,4121,-12292,-12292,980,0,0,810675,False,6HX8-9K86-0X0B-M8XX
D7UkNKoFSmIM6A,1521146389,Uber,4121,4121,-4863,-4863,980,0,0,822967,False,09E4-X9HP-21C6-MPK0
6Dga5lDFpQdz6g,1521137872,Novus,5499,5499,-119622,-119622,980,0,4784,827830,False,PAXM-BHX4-2722-X4B8
ugNafkdxSpQnRg,1521134386,Київський метрополiтен,4111,4111,-500,-500,980,0,0,947452,False,B1K4-P6MH-38AA-H2PK
iM8PPIztrEHaHw,1521101542,Київський метрополiтен,4111,4111,-500,-500,980,0,0,947952,False,A4KC-6ACC-CECX-8H5B
z72ORcevkBgZsw,1521098436,"Київстар
+380978495150",4812,4812,-6000,-6000,980,0,0,948452,True,HCTM-2173-XKM5-2AP4
-88GLSdMj04L7g,1521098165,Київський метрополiтен,4111,4111,-500,-500,980,0,0,954452,False,14E1-6XKB-4664-960E
AVhfMY-J38j4XA,1521055959,Uber,4121,4121,-18188,-17787,980,0,0,954952,False,57PP-0E4H-0A2E-M83B
kiTYj2ttfh_-qg,1521050261,Київський метрополiтен,4111,4111,-500,-500,980,0,0,973140,False,AH3C-1A6K-CM3T-KP2T
BD6K6T6Pt1KW1w,1521029622,Від: Саченко Олеся Сергіївна,мои,4829,4829,7817,7817,980,0,0,973640,True
L6zgBdNjitYkNg,1521012014,Київський метрополiтен,4111,4111,-500,-500,980,0,0,965823,False,B306-B91K-62M7-2ME5
-F0dRNuWzk6snw,1521010882,Від: Саченко Олеся Сергіївна,твои,4829,4829,154616,154616,980,0,0,966323,True
gvOPW8ga2Z7mGw,1520977161,АТБ,5499,5499,-8350,-8350,980,0,334,811707,False,55PB-MAPB-MA45-407B
EVda5vqZ0eZcOg,1520976975,Uber,4121,4121,-24922,-24483,980,0,0,820057,False,56TB-6676-A2T7-7320
caZ-imdDAB9mYA,1520974031,RESTORAN KHMILNYY KNYA,5812,5812,-105600,-105600,980,0,4224,844979,False,5H5C-9K2X-673M-HE81
sfI4O39PhkRTVg,1520973989,RESTAURANT KHMILNYY KN,5812,5812,-35500,-35500,980,0,1420,950579,False,31XB-6AKT-B252-C875
Zv8pS1_dRxVOkw,1520970931,Uber,4121,4121,-13921,-13677,980,0,0,986079,False,HA70-C88X-8812-2AT5
OXzfzQRlyxCJ1g,1520968511,Lesya,4829,4829,-154616,-154616,980,0,0,1000000,True,X536-50T2-4589-K66B
bNw6oZXzVKcKeQ,1520968449,Lesya,твои,4829,4829,-107817,-107817,980,0,0,1154616,True,8K6H-41BK-B28E-5101
3zBqQ0wLzdAjfQ,1520966471,Від: Саченко Олеся Сергіївна,мои,4829,4829,107817,107817,980,0,0,1262433,True
2BO_OocMCQaHNA,1520966410,Від: Саченко Олеся Сергіївна,твои,4829,4829,188716,188716,980,0,0,1154616,True
rTISGWNQFyTrQg,1520940689,P24 CR MD UA,6536,6536,8500,8500,980,0,0,965900,False
qPEGF_WS00uM8Q,1520939699,McDonald's,5814,5814,-42600,-42600,980,0,1704,957400,False,6AXM-A3BB-4HB0-MKTH
kgGe3RlgUMquBA,1520939457,Lesya,мои,4829,4829,-188716,-188716,980,0,0,1000000,True,XXKX-6XE1-9MHE-H1EK
hVIDOb_dqdmv8g,1520939351,Lesya,твои,4829,4829,-8000,-8000,980,0,0,1188716,True,403K-8M6C-0ET8-HP19
n6Rp2_Kgfvm1Tg,1520938322,Київський метрополiтен,4111,4111,-500,-500,980,0,0,1196716,False,KE9H-1243-PBM3-P433
p7oa8Uqbdba0SA,1520924925,Від: Саченко Олеся Сергіївна,😙,4829,4829,233056,233056,980,0,0,1197216,True
iimFUn61j2ivaA,1520880118,АТБ,5499,5499,-35840,-35840,980,0,1433,964160,False,5X6P-H7AH-1C25-6125
