code,attributes,period,data
"""01",номінальна заробітна плата,2015-01,"3455"""
"""01",номінальна заробітна плата,2015-02,"3633"""
"""01",номінальна заробітна плата,2015-03,"3863"""
"""01",номінальна заробітна плата,2015-04,"3998"""
"""01",номінальна заробітна плата,2015-05,"4042"""
"""01",номінальна заробітна плата,2015-06,"4299"""
"""01",номінальна заробітна плата,2015-07,"4390"""
"""01",номінальна заробітна плата,2015-08,"4205"""
"""01",номінальна заробітна плата,2015-09,"4343"""
"""01",номінальна заробітна плата,2015-10,"4532"""
"""01",номінальна заробітна плата,2015-11,"4498"""
"""01",номінальна заробітна плата,2015-12,"5230"""
"""01",номінальна заробітна плата,2016-01,"4362"""
"""01",номінальна заробітна плата,2016-02,"4585"""
"""01",номінальна заробітна плата,2016-03,"4920"""
"""01",номінальна заробітна плата,2016-04,"4895"""
"""01",номінальна заробітна плата,2016-05,"4984"""
"""01",номінальна заробітна плата,2016-06,"5337"""
"""01",номінальна заробітна плата,2016-07,"5374"""
"""01",номінальна заробітна плата,2016-08,"5202"""
"""01",номінальна заробітна плата,2016-09,"5358"""
"""01",номінальна заробітна плата,2016-10,"5350"""
"""01",номінальна заробітна плата,2016-11,"5406"""
"""01",номінальна заробітна плата,2016-12,"6475"""
"""01",номінальна заробітна плата,2017-01,"6008"""
"""01",номінальна заробітна плата,2017-02,"6209"""
"""01",номінальна заробітна плата,2017-03,"6752"""
"""01",номінальна заробітна плата,2017-04,"6659"""
"""01",номінальна заробітна плата,2017-05,"6840"""
"""01",номінальна заробітна плата,2017-06,"7360"""
"""01",номінальна заробітна плата,2017-07,"7339"""
"""01",номінальна заробітна плата,2017-08,"7114"""
"""01",номінальна заробітна плата,2017-09,"7351"""
"""01",номінальна заробітна плата,2017-10,"7377"""
"""01",номінальна заробітна плата,2017-11,"7479"""
"""01",номінальна заробітна плата,2017-12,"8777"""
"""01",номінальна заробітна плата,2018-01,"7711"""
"""01",номінальна заробітна плата,2018-02,"7828"""
"""01",номінальна заробітна плата,2018-03,"8382"""
"""01",номінальна заробітна плата,2018-04,"8480"""
"""01",номінальна заробітна плата,2018-05,"8725"""
"""01",номінальна заробітна плата,2018-06,"9141"""
"""01",номінальна заробітна плата,2018-07,"9170"""
"""01",номінальна заробітна плата,2018-08,"8977"""
"""01",номінальна заробітна плата,2018-09,"9042"""
"""01",номінальна заробітна плата,2018-10,"9218"""
"""01",номінальна заробітна плата,2018-11,"9161"""
"""01",номінальна заробітна плата,2018-12,"10573"""
"""01",номінальна заробітна плата,2019-01,"9223"""
"""01",номінальна заробітна плата,2019-02,"9429"""
"""01",номінальна заробітна плата,2019-03,"10237"""
"""01",номінальна заробітна плата,2019-04,"10269"""
"""01",номінальна заробітна плата,2019-05,"10239"""
"""01",номінальна заробітна плата,2019-06,"10783"""
"""01",номінальна заробітна плата,2019-07,"10971"""
"""01",номінальна заробітна плата,2019-08,"10537"""
"""01",номінальна заробітна плата,2019-09,"10687"""
"""01",номінальна заробітна плата,2019-10,"10727"""
"""01",номінальна заробітна плата,2019-11,"10679"""
"""01",номінальна заробітна плата,2019-12,"12264"""
"""01",номінальна заробітна плата,2020-01,"10727"""
"""01",номінальна заробітна плата,2020-02,"10847"""
"""01",номінальна заробітна плата,2020-03,"11446"""
"""01",номінальна заробітна плата,2020-04,"10430"""
"""01",номінальна заробітна плата,2020-05,"10542"""
"""01",номінальна заробітна плата,2020-06,"11579"""
"""01",номінальна заробітна плата,2020-07,"11804"""
"""01",номінальна заробітна плата,2020-08,"11446"""
"""01",номінальна заробітна плата,2020-09,"11998"""
